A/C No	 Balance
1974	48114.91
1975	187917.20
1976	157932.25
1977	137524.00
1978	60384.03
1979	83852.74
1980	150894.33
1981	175266.00
1982	123428.00
1983	188954.00
1984	104029.21
1985	194821.69
1986	103171.01
1987	197278.00
1988	243709.39
1989	171628.73
1990	189672.00
1991	150774.00
1992	106445.00
1993	19109.50
1994	122325.00
1995	102855.54
1996	185488.19
1997	126434.04
1998	166127.00
1999	116421.66
2000	165421.00
2001	114693.00
2002	181045.70
2003	9221.42
2004	58641.13
2005	219224.05
2006	148159.00
2007	223655.80
2008	206527.84
2009	101354.00
2010	309518.34
2011	178762.00
2012	192972.00
2013	131541.00
2014	304283.03
2015	226186.66
2016	34761.68
2017	55512.27
2018	187941.22
2019	74795.66
2020	176217.00
2021	184387.12
2022	101173.00
2023	124017.05
2024	125155.77
2025	224560.16
2026	181013.62
2027	64451.08
2028	39598.87
2029	142491.00
2030	89793.52
2031	96818.16
2032	168541.14
2033	267530.31
2034	137974.78
2035	244048.22
2036	107280.00
2037	264419.06
2038	155856.00
2039	153330.98
2040	178341.00
2041	235995.78
2042	63897.34
2043	187665.00
2044	195511.00
2045	193069.00
2046	149517.00
2047	107361.00
2048	168015.61
2049	141351.00
2050	174112.00
2051	166734.08
2052	106506.00
2053	191638.00
2054	246853.38
2055	185487.08
2056	131489.00
2057	181109.52
2058	134154.00
2059	111835.33
2060	139875.00
2061	262574.56
2062	16942.64
2063	378948.00
2064	192538.00
2065	134969.00
2066	54895.95
2067	116170.00
2068	111956.00
2069	239961.83
2070	162760.00
2071	122330.77
2072	2870.07
2073	70874.73
2074	194314.00
2075	107218.70
2076	113886.00
2077	160183.00
2078	146039.00
2079	95113.34
2080	141297.61
2081	131883.80
2082	108416.15
2083	153955.50
2084	244843.12
2085	147036.52
2086	215929.41
2087	159631.00
2088	134673.00
2089	46671.40
2090	251595.83
2091	24691.18
2092	174295.00
2093	168969.84
2094	104313.00
2095	171315.47
2096	88827.16
2097	221967.28
2098	194700.84
2099	176881.00
2100	270680.53
2101	289362.09
2102	188156.00
2103	100212.11
2104	214321.44
2105	118894.63
2106	327621.41
2107	113171.00
2108	226258.84
2109	199584.22
2110	55533.92
2111	69912.44
2112	178712.28
2113	48073.46
2114	198190.52
2115	236453.00
2116	101820.61
2117	129697.26
2118	179616.34
2119	161075.00
2120	312345.12
2121	70653.23
2122	145253.30
2123	142659.00
2124	218887.72
2125	25965.67
2126	279561.31
2127	193469.00
2128	151238.00
2129	306814.38
2130	171116.61
2131	14468.63
2132	95947.52
2133	111171.57
2134	7749.41
2135	73254.97
2136	190303.61
2137	165981.00
2138	141880.72
2139	153666.00
2140	168011.00
2141	204736.44
2142	113885.21
2143	193502.56
2144	173211.77
2145	28691.35
2146	60817.61
2147	283656.78
2148	330139.94
2149	40244.66
2150	45112.86
2151	149718.00
2152	109102.74
2153	116061.05
2154	192377.00
2155	266926.19
2156	243229.77
2157	206827.20
2158	191221.83
2159	42411.18
2160	291516.31
2161	62379.11
2162	110249.02
2163	141334.11
2164	207150.67
2165	193141.00
2166	148153.00
2167	99521.73
2168	132943.70
2169	288266.50
2170	31086.98
2171	143485.00
2172	90085.77
2173	18477.66
2174	52771.61
2175	164029.00
2176	109165.04
2177	106898.00
2178	248875.38
2179	134562.00
2180	118676.24
2181	117719.00
2182	211376.70
2183	113835.13
2184	257888.20
2185	209702.89
2186	185797.08
2187	111804.09
2188	140314.27
2189	128789.00
2190	134140.00
2191	166141.36
2192	196332.69
2193	29845.11
2194	375409.06
2195	163320.00
2196	111095.24
2197	230666.45
2198	9043.34
2199	44991.82
2200	305473.84
2201	176951.84
2202	194041.95
2203	189851.22
2204	190414.36
2205	207656.80
2206	136731.36
2207	116699.62
2208	102671.00
2209	305473.62
2210	170013.75
2211	109095.00
2212	113899.00
2213	152625.12
2214	137088.00
2215	222374.55
2216	61372.70
2217	143088.52
2218	158232.00
2219	179969.00
2220	222199.39
2221	132085.27
2222	100030.00
2223	122960.55
2224	110483.71
2225	122393.58
2226	69599.03
2227	120094.00
2228	72847.41
2229	200471.38
2230	131037.92
2231	117559.66
2232	157464.00
2233	151742.00
2234	145838.44
2235	289701.69
2236	52835.57
2237	21817.23
2238	137988.94
2239	31292.44
2240	143881.00
2241	35019.73
2242	128878.88
2243	186496.44
2244	120557.66
2245	75806.12
2246	98658.70
2247	70513.33
2248	211809.78
2249	194406.84
2250	226056.48
2251	224586.81
2252	72109.45
2253	78096.02
2254	268286.16
2255	22467.47
2256	162859.47
2257	4835.94
2258	186146.42
2259	156234.78
2260	183780.17
2261	98673.69
2262	105404.00
2263	282467.62
2264	126799.00
2265	192734.00
2266	122160.12
2267	238528.25
2268	92287.07
2269	123902.04
2270	140853.00
2271	79048.95
2272	73831.18
2273	116487.00
2274	31116.13
2275	124560.23
2276	209825.48
2277	198089.00
2278	163610.00
2279	192809.28
2280	209873.16
2281	191216.33
2282	321221.53
2283	157211.33
2284	181886.86
2285	146788.67
2286	136156.78
2287	121892.00
2288	119920.08
2289	180428.03
2290	29296.90
2291	102443.00
2292	12076.02
2293	144295.62
2294	33930.76
2295	173378.00
2296	62305.02
2297	20386.68
2298	96529.93
2299	174882.00
2300	49397.17
2301	53180.00
2302	321297.22
2303	72513.55
2304	10432.17
2305	262826.91
2306	54600.49
2307	166948.00
2308	41285.59
2309	110014.94
2310	28485.88
2311	235851.52
2312	146092.00
2313	166221.88
2314	179664.00
2315	164170.14
2316	262901.88
2317	250885.72
2318	78004.53
2319	40326.02
2320	186354.00
2321	174123.00
2322	116136.02
2323	125993.70
2324	223723.19
2325	288998.53
2326	17649.96
2327	98210.55
2328	58077.18
2329	186709.00
2330	35324.89
2331	222073.47
2332	191608.00
2333	117069.00
2334	18025.19
2335	112995.00
2336	114687.28
2337	58385.30
2338	251745.48
2339	148569.00
2340	170100.05
2341	254039.59
2342	152971.94
2343	126652.00
2344	70499.19
2345	112819.14
2346	284191.78
2347	82572.65
2348	75172.29
2349	139853.31
2350	186449.31
2351	114090.41
2352	207599.48
2353	82668.71
2354	195794.34
2355	15559.68
2356	240794.72
2357	162124.00
2358	240739.11
2359	50551.52
2360	69491.94
2361	43895.28
2362	269497.41
2363	100818.38
2364	209453.33
2365	133867.89
2366	377511.25
2367	53250.97
2368	229369.38
2369	182437.00
2370	216909.80
2371	292572.41
2372	175204.89
2373	182004.67
2374	106202.00
2375	132038.39
2376	280881.06
2377	113941.69
2378	49781.91
2379	111804.00
2380	271283.12
2381	123507.33
2382	119952.66
2383	190590.58
2384	151225.00
2385	132200.53
2386	49054.12
2387	146106.89
2388	109540.70
2389	307079.97
2390	140634.00
2391	236013.28
2392	152939.92
2393	48903.98
2394	264234.97
2395	199397.28
2396	185472.00
2397	207180.67
2398	294266.41
2399	168111.00
2400	42592.01
2401	19252.84
2402	147661.00
2403	213250.84
2404	157254.75
2405	170216.00
2406	182339.00
2407	185565.94
2408	135344.00
2409	234249.05
2410	112619.27
2411	214435.08
2412	136227.73
2413	100402.62
2414	172170.75
2415	215772.30
2416	119761.04
2417	194650.00
2418	10201.58
2419	190940.33
2420	244707.97
2421	72971.45
2422	44859.64
2423	27718.44
2424	110635.00
2425	80657.89
2426	141598.00
2427	196107.00
2428	163585.61
2429	96272.34
2430	230554.91
2431	170152.98
2432	177572.12
2433	165843.78
2434	60851.24
2435	143676.69
2436	112536.62
2437	189189.39
2438	56213.12
2439	223250.72
2440	137571.20
2441	269246.09
2442	112763.00
2443	105735.00
2444	293789.78
2445	357230.88
2446	117693.29
2447	277284.47
2448	232983.50
2449	152251.00
2450	176017.78
2451	260291.77
2452	109096.07
2453	115145.48
2454	157119.98
2455	127385.98
2456	94378.18
2457	216792.22
2458	236984.62
2459	36779.32
2460	128081.96
2461	17166.09
2462	122407.00
2463	150056.67
2464	107131.00
2465	254476.94
2466	145698.91
2467	121931.00
2468	157987.73
2469	213258.25
2470	23337.14
2471	4431.47
2472	251412.81
2473	48510.81
2474	70414.09
2475	199933.45
2476	7915.03
2477	45833.66
2478	44152.52
2479	67387.81
2480	206101.09
2481	48002.46
2482	164873.30
2483	68552.77
2484	216957.36
2485	137942.45
2486	33082.23
2487	93411.80
2488	158752.00
2489	148306.48
2490	154098.00
2491	194695.00
2492	302471.09
2493	121731.88
2494	38633.75
2495	16505.05
2496	183988.91
2497	168098.00
2498	199710.81
2499	37161.79
2500	104192.65
2501	182853.00
2502	200240.59
2503	119658.73
2504	116748.00
2505	209396.94
2506	130953.31
2507	64877.20
2508	228430.77
2509	156269.36
2510	165159.00
2511	214494.34
2512	60096.55
2513	187393.19
2514	226343.94
2515	115014.97
2516	153156.22
2517	173539.48
2518	75275.44
2519	229022.25
2520	168725.55
2521	104053.80
2522	67328.50
2523	23835.48
2524	184154.31
2525	192334.00
2526	328945.88
2527	70263.77
2528	248086.31
2529	212003.83
2530	116530.50
2531	105631.52
2532	163633.00
2533	18624.15
2534	156965.77
2535	239025.44
2536	321329.25
2537	185185.00
2538	153784.75
2539	8111.07
2540	180207.11
2541	219560.83
2542	2517.13
2543	318724.97
2544	25421.42
2545	195879.00
2546	152634.00
2547	69870.49
2548	63717.97
2549	146735.61
2550	131662.34
2551	71580.44
2552	117624.39
2553	305850.69
2554	33332.70
2555	26993.52
2556	47484.64
2557	15846.26
2558	165052.84
2559	199752.00
2560	232881.12
2561	265205.66
2562	11476.55
2563	195714.84
2564	187179.52
2565	124770.91
2566	150599.58
2567	186190.14
2568	139926.86
2569	73998.48
2570	204194.78
2571	36956.04
2572	99042.03
2573	160629.00
2574	108574.87
2575	286777.44
2576	349098.56
2577	69760.72
2578	234725.36
2579	73812.52
2580	191982.00
2581	61582.41
2582	11346.95
2583	222353.98
2584	137972.64
2585	9985.83
2586	217792.69
2587	99558.23
2588	17230.91
2589	34303.83
2590	31573.38
2591	82434.18
2592	128955.66
2593	114195.70
2594	184303.00
2595	122686.00
2596	246852.05
2597	65660.28
2598	67007.84
2599	140313.09
2600	243649.12
2601	118834.00
2602	213102.70
2603	80215.23
2604	195815.00
2605	127984.00
2606	22462.26
2607	135064.06
2608	111382.00
2609	76766.07
2610	166276.16
2611	23055.67
2612	111310.59
2613	89920.04
2614	163037.00
2615	154187.00
2616	30086.04
2617	127775.98
2618	15357.33
2619	105360.00
2620	178892.45
2621	194146.58
2622	101251.16
2623	331600.47
2624	48022.35
2625	131651.61
2626	109570.24
2627	84330.52
2628	96373.49
2629	43924.11
2630	156942.00
2631	120410.11
2632	101996.00
2633	188013.08
2634	110372.48
2635	381381.06
2636	265253.72
2637	175539.22
2638	17670.23
2639	105066.12
2640	104454.43
2641	111026.22
2642	34141.08
2643	108693.00
2644	140822.09
2645	33527.35
2646	227497.30
2647	127494.00
2648	80614.44
2649	102561.50
2650	132854.00
2651	306422.03
2652	261881.89
2653	85496.73
2654	219582.39
2655	212848.39
2656	146848.47
2657	67257.59
2658	119984.19
2659	15246.22
2660	2036.71
2661	73382.83
2662	172542.00
2663	22306.07
2664	159683.00
2665	45389.16
2666	211526.39
2667	9159.32
2668	208430.64
2669	115464.00
2670	109964.12
2671	15247.50
2672	105007.91
2673	21877.03
2674	154917.62
2675	319833.69
2676	327920.16
2677	111537.02
2678	403292.69
2679	172558.78
2680	77843.82
2681	166093.91
2682	79103.84
2683	78082.30
2684	159909.27
2685	201771.92
2686	128371.00
2687	280164.84
2688	38456.76
2689	160596.00
2690	153254.80
2691	104042.97
2692	239431.27
2693	173567.00
2694	120091.75
2695	186410.77
2696	172562.39
2697	153674.00
2698	68870.89
2699	169111.70
2700	185490.00
2701	126826.26
2702	112132.00
2703	177939.23
2704	172425.22
2705	204767.61
2706	115416.35
2707	189375.61
2708	145365.88
2709	47302.31
2710	303955.66
2711	209188.56
2712	67992.90
2713	43177.53
2714	36869.81
2715	46699.69
2716	114770.74
2717	150339.00
2718	85686.32
2719	172025.00
2720	220104.41
2721	87870.70
2722	158260.00
2723	45418.30
2724	209769.89
2725	224789.73
2726	108509.62
2727	150591.56
2728	198983.94
2729	270651.81
2730	137268.61
2731	134826.00
2732	418419.44
2733	107205.00
2734	45912.76
2735	139363.36
2736	101274.09
2737	199506.20
2738	14438.66
2739	210126.16
2740	300972.50
2741	109855.62
2742	139563.00
2743	116800.73
2744	207409.86
2745	196291.86
2746	92824.99
